Loading benchmark...
Loaded 180 samples
Shuffled with seed=42

Models to evaluate: ['qwen2.5-coder:7b']

============================================================
Evaluating: qwen2.5-coder:7b (ollama)
============================================================
  [1/180] 0cc5d7642bfb... MS=2/2 (100.0%)
  [2/180] 575c2badd122... MS=3/4 (75.0%)
  [3/180] 044d769646de... MS=1/1 (100.0%)
  [4/180] dfac3e92afb8... MS=1/1 (100.0%)
  [5/180] 0e332137b706... MS=3/3 (100.0%)
  [6/180] 52d44747245a... MS=1/1 (100.0%)
  [7/180] b2e8f78de250... MS=4/4 (100.0%)
  [8/180] 4a8d9946c993... MS=1/1 (100.0%)
  [9/180] 6315ef3d8c16... MS=4/4 (100.0%)
  [10/180] d5459bf8a599... MS=1/1 (100.0%)
  [11/180] 94e61dc45441... MS=2/2 (100.0%)
  [12/180] 65beeed30cce... MS=1/1 (100.0%)
  [13/180] e58129546c92... MS=2/2 (100.0%)
  [14/180] e02aa4c9d3ec... MS=2/2 (100.0%)
  [15/180] 63e438a288df... MS=1/1 (100.0%)
  [16/180] bf03bc52d6fd... MS=1/1 (100.0%)
  [17/180] 2e2141821527... MS=1/1 (100.0%)
  [18/180] c3be276c8c74... MS=5/5 (100.0%)
  [19/180] b814cc96b90c... MS=2/2 (100.0%)
  [20/180] 7b7410a745cf... MS=1/1 (100.0%)
  [21/180] 7821f4946c3c... MS=3/3 (100.0%)
  [22/180] 5f4dcf58f3a0... MS=2/2 (100.0%)
  [23/180] fcb8a86a51d1... Downloading...
Downloading...
Downloading...
MS=1/1 (100.0%)
  [24/180] 6ed240dcb910... MS=5/5 (100.0%)
  [25/180] c6f0a66db26a... MS=1/1 (100.0%)
  [26/180] afaed480b97e... MS=2/2 (100.0%)
  [27/180] 1c88c601cf45... MS=2/2 (100.0%)
  [28/180] 6df6f72e3cdf... MS=1/1 (100.0%)
  [29/180] a6d9f2ac0883... MS=2/2 (100.0%)
  [30/180] b405dac8bb58... MS=2/2 (100.0%)
  [31/180] b5f5ee0f6bf0... MS=2/2 (100.0%)
  [32/180] 233cfeb0a3db... MS=3/3 (100.0%)
  [33/180] 5ff93019adc0... MS=1/1 (100.0%)
  [34/180] b8b9a810b063... MS=2/2 (100.0%)
  [35/180] d878d50631d2... MS=0/3 (0.0%)
  [36/180] abc173a1d395... MS=3/3 (100.0%)
  [37/180] e319e2265620... MS=1/1 (100.0%)
  [38/180] b3fce86867d4... MS=1/1 (100.0%)
  [39/180] c3b5657af3bd... MS=N/A (0 mutants)
  [40/180] d07ded395aff... MS=1/1 (100.0%)
  [41/180] f5824e8e470e... MS=1/1 (100.0%)
  [42/180] 7336c8d9d639... MS=3/3 (100.0%)
  [43/180] b185d76e771a... MS=2/2 (100.0%)
  [44/180] 4d5a6ae934ba... MS=1/1 (100.0%)
  [45/180] 5b49f5f2c26d... MS=2/2 (100.0%)
  [46/180] cd89515494a7... MS=3/3 (100.0%)
  [47/180] 3d26b977577e... MS=2/2 (100.0%)
  [48/180] 70d2011dcc95... MS=1/2 (50.0%)
  [49/180] 764292ad24c4... MS=1/1 (100.0%)
  [50/180] 7bae9409771d... MS=1/1 (100.0%)
